municipio,codigo,area_km2,pop_2019,densidade_demog,IDHM_2010,PIB_pc_2017
Serra Alta,4217550,90.564,3263,35.57,0.773,23441.82
Siderópolis,4217600,262.004,14007,49.67,0.774,32998.94
Sombrio,4217709,143.457,30374,185.68,0.728,25286.14
Sul Brasil,4217758,113.125,2461,24.51,0.707,20183.65
Taió,4217808,693.847,18395,24.91,0.761,31407.39
Tangará,4217907,390.044,8676,22.34,0.737,47139.92
Tigrinhos,4217956,56.962,1633,30.32,0.717,22223.34
Tijucas,4218004,279.159,38407,110.74,0.76,39711.53
Timbé do Sul,4218103,328.507,5348,16.08,0.72,21402.05
Timbó,4218202,128.313,44238,288.64,0.784,42803.22
Timbó Grande,4218251,596.344,7877,11.98,0.659,24124.11
Três Barras,4218301,436.496,19275,41.43,0.706,54489.79
Treviso,4218350,156.61,3929,22.45,0.774,55797.59
Treze de Maio,4218400,159.833,7081,42.53,0.729,20243.97
Treze Tílias,4218509,185.937,7840,33.97,0.795,81477.73
Trombudo Central,4218608,109.648,7360,60.33,0.775,32221.92
Tubarão,4218707,301.485,105686,322.23,0.796,33649.56
Tunápolis,4218756,132.939,4543,34.77,0.752,25901.13
Turvo,4218806,235.104,12899,50.33,0.74,40640.63
União do Oeste,4218855,92.857,2464,31.42,0.705,23335.42
Urubici,4218905,1021.371,11235,10.51,0.694,20760.8
Urupema,4218954,350.472,2465,7.09,0.699,27626.73
Urussanga,4219002,254.954,21268,79.35,0.772,37504.97
Vargeão,4219101,166.685,3573,21.19,0.686,37064.4
Vargem,4219150,350.606,2477,8.02,0.629,23396.61
Vargem Bonita,4219176,299.807,4492,16.06,0.718,83563.22
Vidal Ramos,4219200,346.932,6338,18.34,0.7,39349.76
Videira,4219309,384.127,53065,124.09,0.764,42364.49
Vitor Meireles,4219358,370.414,4979,14.05,0.673,23314.81
Witmarsum,4219408,153.776,3965,23.69,0.71,30881.48
Xanxerê,4219507,377.426,50982,116.81,0.775,32237.14
Xavantina,4219606,218.032,3933,19.12,0.749,45607.66
Xaxim,4219705,293.628,28706,87.67,0.752,32943.06
Zortéa,4219853,190.179,3363,15.77,0.761,20936.02
Balneário Rincão,4220000,63.42,12760,-,-,17168.62
